Incongruous,Adjective. Out of place or inappropriate. Example: The computer looked incongruous in the library.
Gangly,"Adjective. Tall, thin, and awkward in movement. Example: A tall, gangly boy entered the room."
Fidget,Verb. To make small restless movements. Example: He fidgeted with a pencil.
Languid,Adjective. Slow and lacking energy. Example: She spoke in a languid voice.
Partisan,Adjective. Strongly biased or supportive without objectivity. Example: The audience was highly partisan.
Stagger,Verb. To walk unsteadily. Example: He staggered to the phone.
Jostle,Verb. To push roughly in a crowd. Example: Fans jostled for space.
Do up,"Phrasal verb. To repair, paint, or improve something old. Example: I need to do up my old bicycle before selling it."
Use up,Phrasal verb. To use all of a supply of something. Example: We used up all the flour baking cakes.
Stem from,Phrasal verb. To originate from or be caused by something. Example: Her health problems stem from a sedentary lifestyle.
Put forward,Phrasal verb. To offer an idea or suggestion for consideration. Example: He put forward several points during the discussion.
Draw on,"Phrasal verb. To use experience, skills, or knowledge as a resource. Example: Drawing on my experience, I believe this will work."
Account for,"Phrasal verb. To explain or be the reason for something, or to form part of a total. Example: Poverty accounts for the rise in crime."
Put down to,Phrasal verb. To attribute something to a particular cause. Example: We put the children’s behaviour down to excitement.
Pencil in,Phrasal verb. To make a tentative or provisional arrangement. Example: Let’s pencil in the meeting for next Tuesday.
Stick to your guns,"Idiom. To refuse to change your opinion despite criticism. Example: Despite the criticism, she stuck to her guns."
Turn over a new leaf,Idiom. To start behaving better or change your life positively. Example: He decided to turn over a new leaf and go back to college.
Fork out,"Idiom/Phrasal verb. To pay a large amount of money, often unwillingly. Example: I had to fork out nearly a thousand dollars."
Dead set,Idiom/Adjective. Completely determined about something. Example: She is dead set on moving to Paris.
Elbow people aside,"Idiom/Phrase. To push people out of your way, especially in a crowd. Example: He elbowed people aside to reach the front."
Face the music,Idiom. To accept unpleasant consequences. Example: He had to face the music after skipping class.
Foot the bill,Idiom. To pay for something expensive or unexpected. Example: He agreed to foot the bill for dinner.
Shoulder the burden,Idiom. To take on a difficult responsibility. Example: She shouldered the burden of caring for her parents.
Stomach the idea,Idiom. To tolerate or accept an unpleasant thought. Example: I can’t stomach the idea of working weekends.
Toe the line,Idiom. To conform to rules or expectations. Example: Employees must toe the line.
Neigh,Noun/Verb. The characteristic sound made by a horse. Example: A loud neigh came from the stable.
The icing on the cake,Idiom. Something that makes a good situation even better. Example: The company car was the icing on the cake.
Have bigger fish to fry,Idiom. To have more important things to do. Example: I have bigger fish to fry right now.
Sweeten the pill,Idiom. To make something unpleasant easier to accept. Example: A bonus was offered to sweeten the pill.
Spill the beans,Idiom. To reveal a secret. Example: John spilled the beans about the surprise party.
Get egg on your face,Idiom. To be embarrassed after being proven wrong. Example: The politician got egg on his face.
Eat humble pie,Idiom. To admit you were wrong and apologise. Example: I had to eat humble pie after criticising her idea.
Give and take,Idiom. Mutual compromise by both sides. Example: A good relationship needs give and take.
Time and again,Idiom/Adverbial. Repeatedly or frequently. Example: She has proven it time and again.
High and dry,Idiom. Abandoned without help or support. Example: The workers were left high and dry.
Fame and fortune,"Idiom/Noun phrase. Success, wealth, and recognition. Example: He went to Hollywood seeking fame and fortune."
First and foremost,"Idiom/Adverbial. Most importantly. Example: First and foremost, we must consider safety."
Black and white,Idiom/Adjective. Very clear with no ambiguity. Example: The rules are written in black and white.
Thick and thin,Idiom/Adverbial. Through good and bad times. Example: They stayed together through thick and thin.
Touch and go,Idiom/Adjective. Very uncertain or risky. Example: The operation was touch and go.
Flesh and blood,"Idiom/Noun phrase. A real human being with limitations, or a relative. Example: I’m only flesh and blood."
Life and soul of the party,Idiom/Noun phrase. The most lively and entertaining person. Example: She’s the life and soul of the party.
The right way round,Phrase. The correct orientation or position. Example: Make sure the battery is the right way round.
Serve someone right,Idiom/Phrase. To be a deserved punishment. Example: It served him right for cheating.
Right under your nose,Idiom/Phrase. In an obvious place that went unnoticed. Example: The keys were right under your nose.
Make all the right noises,"Idiom/Phrase. To say what people expect, often without sincerity. Example: He made all the right noises during the campaign."
Within your rights,Phrase. Legally or morally entitled to do something. Example: You are within your rights to complain.
By rights,"Phrase/Adverbial. According to what is fair or deserved. Example: By rights, she should have been promoted."
In the right,Idiom/Phrase. Morally or factually correct. Example: She proved she was in the right.
As right as rain,"Idiom. Perfectly well or healthy again. Example: After resting, I felt as right as rain."
Right on time,Phrase/Adverbial. Exactly at the expected time. Example: The train arrived right on time.
Film rights,Noun phrase. Legal permission to adapt a story into a film. Example: The film rights were sold immediately.
Break a leg,Idiom. A way to wish someone good luck. Example: They told her to break a leg before the show.
Cost an arm and a leg,Idiom. To be very expensive. Example: That car costs an arm and a leg.
I’m all ears,"Idiom. Ready and eager to listen. Example: Tell me everything, I’m all ears."
Get on someone’s nerves,Idiom. To annoy or irritate someone. Example: The noise is getting on my nerves.
Keep your fingers crossed,Idiom. To hope for good luck. Example: Keep your fingers crossed for my interview.
See eye to eye,Idiom. To agree with someone. Example: We don’t always see eye to eye.
Be left to your own devices,Idiom. To be free to act independently. Example: She was left to her own devices.
Break the mould,Idiom. To do something in a new or unconventional way. Example: She enjoys breaking the mould.
Depict,Verb. To represent or show something in a picture or a story. Example: Her paintings depict the lives of ordinary people in the last century.
Allot,Verb. To assing as a share or a portion. Example: Allot 10 minutes for the speech. 
Jumble,Verb. To move in a confused or disordered manner. The contest editor has jumbled the letters of some common words
Stay abreast of,Idiom. To keep up with or maintain informed. I need to stay abreast of the latest changes in the law.
Flit,"Verb. To fly or move quickly and lightly. Example: In the fading light, we saw bats flitting about in the garden."
Proclamation,Noun. An official announcement. Example: A bloody civil war followed the proclamation of an independent state.
Ambience,"Noun. The character of a place or the quality it seems to have. Example: Despite being a busy city, Dublin has the ambience of a country town."
Invigorating,"Verb. To make someone feel fresher, healthier and more energetic. Example: We were invigorated by our walk."
Rein in,Phrasal verb. To control something and stop it increasing. Consumers tend to rein in their spending in a recession.
Rein,"Noun. A long piece of material,especially leather, that helps you to control and direct a horse. Example: You pull both reins to stop or slow a horse, but only the left rain to turn left."
Rehersal,"Noun. A time when all the people involved in a play, dance, etc, practise, in order to prepare for a performance. Example: He's a producer with three plays in rehearsal."
Refrain,Verb. To avoid doing or stop yourself from doing something. Example: We refrained from talking until we knew it was safe.
Loath,Adjectvie. To be unwilling to do something. Example: I'm loath to spent it all at once.
Lessen,Verb. To become less strong. Example: A healthy diet lessen the risk of a heart disease.
High time,Idiom. Past the time when something should have happened. Example: It’s high time you got that bad knee looked at by a doctor!
Wrought,Adjective. Made or done in a careful or decorative way. Example: The new album contains some carefully wrought new songs and a number of familiar hits.
Foolhardy,"Adjective. Brave in a silly way, taking uncessary risks. Example: a foolhardy decision. "
Awe,Noun. A feeling of great respect sometimes mixed with a fear or surprise. Example: I've always held musicans in awe.
Angst,"Noun. Strong and unhappiness, especially about personal problems. Example: All my children went through a period of late-adolesecent angst."
Witty,Adjective. Intelligent with words in a fun way. Example: He was witty and very charming.
Pugnatious,
Tact,Noun. The hability to say or do the same thing without making anyone unhappy or angry. Example: He's never had much tact and people don't like his blunt manner.
Impetuous,"Adjective. Do something suddently without considering the results of your actions. Example: He's so impetuous, why can't he think things over before he rushes into them?"
Lackadaisical,Adjective. Showing little enthusiasm and effort. Example: The food was nice enough but the service was somewhat lackdaisical.
Abrasive,Adjective. Rude and unfriendly. She has a rather abrasive manner.
Big-headed,Adjective. Thinking that you are more imporant or more intelligent that you really are. Example: She's so bigheaded!
Stuck-up,"Adjective. Too productive and considering yourselfto be very imporant. Example: She's so stuck up, she won't even talk to us."
Obstinate,"Adjective. Unreasonably determined, especially to act in a particular way and not to change at all, despite waht anyone else says. Example: He can be very obstinate at times."
Loquacious,"Adjective. Someone who is loquacious talks a lot. Example: I was talking, as one always does, to a luquaciois taxi driver. "
See red,Idiom. To become very angry. Example: People who don't finish a job really make me see red.
Carry out,Phrasal verb. Discussing what changes need to be made to change something. Example: Certain improvements ought to be carry out for economic purposes.
Put fowards,"Phrasal verb. To state an idea or opinion, or suggest a plan or a person. Example: This email was put forwards to address."
Stem from,Phrasal verb. To start or develop as the result of something. Example: Her problems stem from her difficult childhood.
Elucidate,Verb. To explain something or make something clear. Example: I don't understand. You'll have to elucidate.
Corroborate,"Verb. To add proof to an account, statement, idea, etc, with new information. Example: Recent research seems to corrobate his thoery."
Perpetuate,Verb. To cause something to continue. Example: Incrasig the supply of weapongs will only perpetuate the violence and anarchy.
Substantiate,"Verb. To show something to be true, or to support a claim with facts. Example: We've evidence to substantiate the allegations against him. "
Adovate,"Verb. To publicly support or suggest an idea, development, or way of doing something. Example: She advocates taking a more long-term view. "
Undermine,"Verb. To make someone less confident, less powerful, or less likely to succeed, or to make something waker. Example: Critisicm just undermines their confidence."
Ameliorate,Verb. To make a bad or unpleasant situation better. Example: foreign aid is badly needed to ameliorate the effects of the drought.
Disparage,"Verb. To critizice someone or something in a way that shows you don't respect or value him, her, or it. Example: The actor's work for charity has recently been disparaged in the press as an attempo to get publicity. "
Facilitate,Verb. To make something possible or easier. The new rampo will facilitate the entry of wheelchairs. 
